problem,answer,category
log(1024),,logarithm
8^3,,power
2504-1764,,arithmetic
10x+100=237,,linear
sqrt(4356),,power
2507-1832,,arithmetic
1812+1625,,arithmetic
log(100000),,logarithm
1139+1988,,arithmetic
11^3,,power
1036/28,,arithmetic
29+56*22,,arithmetic
log(512),,logarithm
sqrt(1600),,power
6^5,,power
34+22*22,,arithmetic
2622/38,,arithmetic
2418/39,,arithmetic
67*53,,arithmetic
37+35*13,,arithmetic
2052/38,,arithmetic
10x+52=263,,linear
log(512),,logarithm
tan(360),,trigonometry
sqrt(1936),,power
log(1024),,logarithm
9^5,,power
1664/32,,arithmetic
52+61*20,,arithmetic
88*91,,arithmetic
sqrt(400),,power
54+62*28,,arithmetic
1632+1063,,arithmetic
cos(135),,trigonometry
14x+95=134,,linear
83*64,,arithmetic
43+55*21,,arithmetic
sin(135),,trigonometry
27x+98=270,,linear
52+60*16,,arithmetic
860/43,,arithmetic
37+35*12,,arithmetic
16x+89=146,,linear
sqrt(2500),,power
57*68,,arithmetic
1482/26,,arithmetic
log(256),,logarithm
tan(180),,trigonometry
1785+1928,,arithmetic
49+20*12,,arithmetic
2747/41,,arithmetic
39+20*10,,arithmetic
12^4,,power
log(10000),,logarithm
sqrt(1681),,power
2569-1406,,arithmetic
67+46*18,,arithmetic
sqrt(2704),,power
1909+1354,,arithmetic
sqrt(4489),,power
22x+55=251,,linear
20+41*10,,arithmetic
20x+92=193,,linear
tan(120),,trigonometry
1785+1478,,arithmetic
15x+141=248,,linear
cos(270),,trigonometry
45+36*21,,arithmetic
18x+99=199,,linear
tan(135),,trigonometry
1024+1735,,arithmetic
21x+65=187,,linear
630/21,,arithmetic
5^3,,power
sqrt(400),,power
log(128),,logarithm
sqrt(961),,power
log(32),,logarithm
2342-1906,,arithmetic
1639+1742,,arithmetic
1589+1799,,arithmetic
5^3,,power
12x+128=279,,linear
13^4,,power
13^4,,power
1530/45,,arithmetic
1776+1066,,arithmetic
1191+1065,,arithmetic
1530/30,,arithmetic
21x+146=263,,linear
log(64),,logarithm
17x+143=236,,linear
980/28,,arithmetic
tan(210),,trigonometry
29x+64=240,,linear
68+37*13,,arithmetic
1748/46,,arithmetic
1392/29,,arithmetic
2760/40,,arithmetic
sqrt(1156),,power
2936-1028,,arithmetic
2931-1065,,arithmetic
tan(225),,trigonometry
7^3,,power
log(10000),,logarithm
2965-1285,,arithmetic
5^5,,power
69+53*16,,arithmetic
cos(240),,trigonometry
cos(45),,trigonometry
sin(300),,trigonometry
sqrt(2601),,power
1888+1845,,arithmetic
17x+51=128,,linear
log(256),,logarithm
2279-1670,,arithmetic
56*70,,arithmetic
2491/47,,arithmetic
9^3,,power
2069-1384,,arithmetic
log(512),,logarithm
1044+1206,,arithmetic
1577+1385,,arithmetic
log(256),,logarithm
50+23*18,,arithmetic
2879-1643,,arithmetic
1496+1587,,arithmetic
37+46*12,,arithmetic
81*93,,arithmetic
log(100000),,logarithm
1406/38,,arithmetic
log(100000),,logarithm
tan(45),,trigonometry
sqrt(1024),,power
sqrt(1444),,power
1749+1585,,arithmetic
51*79,,arithmetic
52+69*29,,arithmetic
sqrt(3481),,power
sqrt(3600),,power
22+53*13,,arithmetic
2369-1813,,arithmetic
sqrt(484),,power
log(32),,logarithm
99*99,,arithmetic
88*53,,arithmetic
81*54,,arithmetic
cos(180),,trigonometry
log(64),,logarithm
1214+1584,,arithmetic
cos(240),,trigonometry
26x+115=231,,linear
66*97,,arithmetic
1869+1602,,arithmetic
2345/35,,arithmetic
1326/34,,arithmetic
76*87,,arithmetic
1828+1502,,arithmetic
2420-1349,,arithmetic
log(10000),,logarithm
17x+68=215,,linear
tan(150),,trigonometry
1015+1940,,arithmetic
log(32),,logarithm
log(128),,logarithm
1529+1335,,arithmetic
2008-1857,,arithmetic
6^3,,power
73*65,,arithmetic
2332-1652,,arithmetic
2961/47,,arithmetic
cos(180),,trigonometry
64+46*21,,arithmetic
6^5,,power
66*79,,arithmetic
58+53*16,,arithmetic
2208-1033,,arithmetic
tan(210),,trigonometry
tan(150),,trigonometry
log(128),,logarithm
log(512),,logarithm
2806-1777,,arithmetic
1426/31,,arithmetic
1125+1578,,arithmetic
13x+58=127,,linear
29x+82=207,,linear
7^4,,power
97*70,,arithmetic
12^4,,power
29+24*29,,arithmetic
log(128),,logarithm
1191+1592,,arithmetic
sqrt(2209),,power
cos(180),,trigonometry
609/29,,arithmetic
28x+127=266,,linear
sin(300),,trigonometry
2741-1411,,arithmetic
tan(135),,trigonometry
93*73,,arithmetic
1247/43,,arithmetic
29x+136=236,,linear
log(64),,logarithm
75*60,,arithmetic
13x+83=260,,linear
sqrt(2704),,power
2806/46,,arithmetic
52*61,,arithmetic
440/22,,arithmetic
6^3,,power
2238-1866,,arithmetic
1394+1388,,arithmetic
1964+1409,,arithmetic
2283-1720,,arithmetic
log(1024),,logarithm
2272-1770,,arithmetic
53*90,,arithmetic
sqrt(3969),,power
log(32),,logarithm
2990/46,,arithmetic
17x+116=168,,linear
log(32),,logarithm
28+68*26,,arithmetic
sin(270),,trigonometry
log(64),,logarithm
22x+96=233,,linear
tan(240),,trigonometry
2314-1211,,arithmetic
16x+64=211,,linear
2742-1140,,arithmetic
26x+124=116,,linear
70*69,,arithmetic
log(32),,logarithm
1612/31,,arithmetic
23+41*13,,arithmetic
45+26*27,,arithmetic
10^5,,power
1488/31,,arithmetic
sin(60),,trigonometry
1888/32,,arithmetic
2114-1114,,arithmetic
tan(45),,trigonometry
log(10000),,logarithm
870/29,,arithmetic
log(128),,logarithm
sqrt(4356),,power
1884+1344,,arithmetic
2363-1595,,arithmetic
1714+1735,,arithmetic
22+53*25,,arithmetic
sqrt(1936),,power
90*75,,arithmetic
11x+131=176,,linear
sqrt(1600),,power
log(10000),,logarithm
sqrt(1681),,power
9^5,,power
21x+146=167,,linear
log(64),,logarithm
2957-1002,,arithmetic
20x+134=131,,linear
19x+50=236,,linear
sqrt(1849),,power
12^4,,power
sqrt(1681),,power
1859+1180,,arithmetic
1882+1596,,arithmetic
log(10000),,logarithm
13^4,,power
1933+1006,,arithmetic
6^3,,power
1997+1233,,arithmetic
tan(30),,trigonometry
tan(60),,trigonometry
1248+1956,,arithmetic
sqrt(1369),,power
1303+1309,,arithmetic
50+64*26,,arithmetic
1772+1166,,arithmetic
cos(180),,trigonometry
log(128),,logarithm
sqrt(576),,power
log(256),,logarithm
sqrt(1444),,power
2176/34,,arithmetic
11^5,,power
1980/45,,arithmetic
tan(45),,trigonometry
44+60*14,,arithmetic
99*65,,arithmetic
sin(210),,trigonometry
sqrt(900),,power
sqrt(676),,power
98*59,,arithmetic
2665-1585,,arithmetic
19x+71=140,,linear
16x+79=134,,linear
56+63*20,,arithmetic
cos(180),,trigonometry
2472-1859,,arithmetic
tan(60),,trigonometry
sqrt(2809),,power
1439+1120,,arithmetic
log(128),,logarithm
1329+1474,,arithmetic
31+42*27,,arithmetic
22x+110=215,,linear
20x+110=118,,linear
2145-1247,,arithmetic
61*83,,arithmetic
1857+1668,,arithmetic
2313-1169,,arithmetic
19x+84=216,,linear
1564/34,,arithmetic
log(64),,logarithm
11^4,,power
sqrt(576),,power
52*73,,arithmetic
67+50*20,,arithmetic
40+35*25,,arithmetic
sqrt(3600),,power
2196/36,,arithmetic
cos(120),,trigonometry
53+65*18,,arithmetic
720/24,,arithmetic
56+25*20,,arithmetic
34+28*10,,arithmetic
2135-1312,,arithmetic
log(10000),,logarithm
2936-1456,,arithmetic
sin(270),,trigonometry
log(512),,logarithm
62+44*23,,arithmetic
65*50,,arithmetic
log(100000),,logarithm
69+43*29,,arithmetic
2651-1730,,arithmetic
1302/31,,arithmetic
12^5,,power
11^3,,power
sqrt(576),,power
63*91,,arithmetic
26+50*26,,arithmetic
sqrt(3844),,power
54*77,,arithmetic
2242-1918,,arithmetic
1770+1441,,arithmetic
log(32),,logarithm
tan(225),,trigonometry
1070+1737,,arithmetic
1258/37,,arithmetic
sin(45),,trigonometry
2115/45,,arithmetic
68+62*25,,arithmetic
44+25*17,,arithmetic
cos(90),,trigonometry
64+61*10,,arithmetic
54+25*21,,arithmetic
log(256),,logarithm
tan(45),,trigonometry
1702+1087,,arithmetic
1730+1098,,arithmetic
1806/42,,arithmetic
1361+1956,,arithmetic
1470/30,,arithmetic
2258-1471,,arithmetic
7^3,,power
sin(30),,trigonometry
